poi_name,g_lat,g_lng,poi_type,search_region
5TO7,37.5460839,127.043323,cafe,뚝섬역 카페
로우커피스탠드,37.5471333,127.0466301,cafe,뚝섬역 카페
어반누크 성수,37.5466861,127.0433202,cafe,뚝섬역 카페
로우키 성수,37.5441954,127.0515838,cafe,뚝섬역 카페
오우도,37.5454262,127.0494961,cafe,뚝섬역 카페
라바트리 서울숲 - LAVATREE SEOUL FOREST,37.5478073,127.0448057,bar,뚝섬역 카페
스탠드업플리즈바이턴온,37.5446995,127.0518624,cafe,뚝섬역 카페
미니멈커피,37.5463174,127.0490737,cafe,뚝섬역 카페
커피식탁,37.5451454,127.0486846,cafe,뚝섬역 카페
크로우 krow coffee bar,37.5462424,127.0471079,cafe,뚝섬역 카페
까치화방 카페 성수점 CACHI CAFE SEONGSU 聖水駅カフェ 圣水站咖啡厅,37.5456143,127.0648276,bakery,뚝섬역 카페
따우전드 성수점,37.5446246,127.0503043,cafe,뚝섬역 카페
오버도즈 도넛앤커피 (OVDZ DONUT),37.5465581,127.046834,bakery,뚝섬역 카페
무브모브 성수 CAFE move.mov カフェ ムーブモーブ聖水,37.5453842,127.0502864,cafe,뚝섬역 카페
이리데센트,37.5471452,127.0431783,cafe,뚝섬역 카페
구욱희씨,37.5470443,127.0419176,bakery,뚝섬역 카페
체다앤올리,37.54578180000001,127.0424604,cafe,뚝섬역 카페
미쁘동 서울숲,37.5474873,127.0401528,establishment,서울숲역 맛집
파이프그라운드 서울숲,37.5443796,127.0438576,cafe,서울숲역 맛집
연남토마 성수,37.5470052,127.0423617,establishment,서울숲역 맛집
할머니의 레시피,37.546133,127.0431495,establishment,서울숲역 맛집
부우이 성수,37.5469061,127.0401915,establishment,서울숲역 맛집
서울로인 서울숲점,37.5457822,127.0424788,establishment,서울숲역 맛집
벨라스가든 서울숲점,37.5431788,127.0449642,establishment,서울숲역 맛집
밸런스포케 서울숲점,37.5469396,127.0438022,establishment,서울숲역 맛집
최가네샤브버섯칼국수 성수직영점,37.5475639,127.0428104,establishment,서울숲역 맛집
갓잇 서울숲점,37.5470152,127.0458323,establishment,서울숲역 맛집
희릿,37.5426033,127.0485903,bar,서울숲역 맛집
스시도쿠 더 성수,37.5476275,127.0430461,establishment,서울숲역 맛집
온량,37.5468691,127.0434697,establishment,서울숲역 맛집
버섯집,37.5466489,127.0440995,establishment,서울숲역 맛집
미테이블 성수본점,37.5465226,127.045351,establishment,서울숲역 맛집
성수옥서울숲점,37.542575,127.0519572,establishment,서울숲역 맛집
소랑호젠,37.5426627,127.0451987,establishment,서울숲역 맛집
쎄콩데 LIVE,37.5465526,127.0422814,bar,서울숲역 맛집
호호식당 성수점,37.5471059,127.0438979,establishment,서울숲역 맛집
차만다 성수,37.5465544,127.0414424,establishment,서울숲역 맛집
